method,combo,anchor,alpha,beta,gamma,d_src_mat,d_tgt_mat,inter_mat,path,d_int,inter_int
A,rolling_drop,fs460174,0.9,0.3,0.0,35.01264572143555,26.391695022583008,0.570198218833185,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.3_g0.0_anchor1.wav,19.144987106323242,
A,rolling_drop,fs460174,0.9,0.3,0.5,46.3498649597168,36.943172454833984,0.5564674599207652,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.3_g0.5_anchor1.wav,30.49430274963379,
A,rolling_drop,fs460174,0.9,0.3,1.0,59.03346252441406,49.326904296875,0.5447883230335396,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.3_g1.0_anchor1.wav,43.31269836425781,
A,rolling_drop,fs460174,0.9,0.6,0.0,35.01264572143555,26.391695022583008,0.570198218833185,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.6_g0.0_anchor1.wav,19.144987106323242,
A,rolling_drop,fs460174,0.9,0.6,0.5,46.3498649597168,36.943172454833984,0.5564674599207652,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.6_g0.5_anchor1.wav,30.49430274963379,
A,rolling_drop,fs460174,0.9,0.6,1.0,59.03346252441406,49.326904296875,0.5447883230335396,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.6_g1.0_anchor1.wav,43.31269836425781,
A,rolling_drop,fs460174,0.9,0.9,0.0,35.01264572143555,26.391695022583008,0.570198218833185,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.9_g0.0_anchor1.wav,19.144987106323242,
A,rolling_drop,fs460174,0.9,0.9,0.5,46.3498649597168,36.943172454833984,0.5564674599207652,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.9_g0.5_anchor1.wav,30.49430274963379,
A,rolling_drop,fs460174,0.9,0.9,1.0,59.03346252441406,49.326904296875,0.5447883230335396,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/rolling_drop_a0.9_b0.9_g1.0_anchor1.wav,43.31269836425781,
baseline_sum,liquid_rock_impact,9c95dfbea5d2,,,,82.48277282714844,78.79938507080078,0.5114190800871337,/home/atorsaev/projects/tecniacustica-prospect/outputs/baseline_sum/full/liquid_rock_impact_anchor0.wav,82.43666076660156,
baseline_interp,liquid_rock_impact,9c95dfbea5d2,,,,2.037667989730835,13.159028053283691,0.13408625031579838,/home/atorsaev/projects/tecniacustica-prospect/outputs/baseline_interp/full/liquid_rock_impact_anchor0.wav,1.582849383354187,
A,liquid_rock_impact,9c95dfbea5d2,0.3,0.3,0.0,1.5914747714996338,12.612113952636719,0.11204737072421504,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.3_b0.3_g0.0_anchor0.wav,1.1083675622940063,
A,liquid_rock_impact,9c95dfbea5d2,0.3,0.3,0.5,2.1105847358703613,11.70054817199707,0.15281763992838424,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.3_b0.3_g0.5_anchor0.wav,1.8376951217651367,
A,liquid_rock_impact,9c95dfbea5d2,0.3,0.3,1.0,4.240065097808838,9.84932804107666,0.300940221889734,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.3_b0.3_g1.0_anchor0.wav,4.3416547775268555,
A,liquid_rock_impact,9c95dfbea5d2,0.3,0.6,0.0,1.5914747714996338,12.612113952636719,0.11204737072421504,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.3_b0.6_g0.0_anchor0.wav,1.1083675622940063,
A,liquid_rock_impact,9c95dfbea5d2,0.3,0.6,0.5,2.1105847358703613,11.70054817199707,0.15281763992838424,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.3_b0.6_g0.5_anchor0.wav,1.8376951217651367,
A,liquid_rock_impact,9c95dfbea5d2,0.3,0.6,1.0,4.240065097808838,9.84932804107666,0.300940221889734,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.3_b0.6_g1.0_anchor0.wav,4.3416547775268555,
A,liquid_rock_impact,9c95dfbea5d2,0.3,0.9,0.0,1.5914747714996338,12.612113952636719,0.11204737072421504,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.3_b0.9_g0.0_anchor0.wav,1.1083675622940063,
A,liquid_rock_impact,9c95dfbea5d2,0.3,0.9,0.5,2.1105847358703613,11.70054817199707,0.15281763992838424,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.3_b0.9_g0.5_anchor0.wav,1.8376951217651367,
A,liquid_rock_impact,9c95dfbea5d2,0.3,0.9,1.0,4.240065097808838,9.84932804107666,0.300940221889734,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.3_b0.9_g1.0_anchor0.wav,4.3416547775268555,
