pareja,env_parent,fine_parent,align,n_bands,banda_idx,centro_hz,edge_lo_hz,edge_hi_hz,rms_db_abs,rms_db_rel_pico,es_huerfana,n_huerfanas_bandpass_grupo,n_huerfanas_ref_envolvente_grupo,coincide_con_referencia_grupo
trueno_hecho_de_agua,trueno,goteo,True,24,14,1370.97,1243.02,1512.09,-93.5962,-56.9818,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,True,24,15,1667.73,1512.09,1839.4,-98.941,-62.3267,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,True,24,16,2028.73,1839.4,2237.56,-104.9836,-68.3693,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,True,24,17,2467.88,2237.56,2721.91,-105.5504,-68.9361,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,True,24,18,3002.09,2721.91,3311.11,-107.8731,-71.2588,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,True,24,19,3651.93,3311.11,4027.84,-115.5164,-78.9021,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,True,24,20,4442.44,4027.84,4899.72,-117.3719,-80.7575,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,True,24,21,5404.07,4899.72,5960.33,-124.4799,-87.8656,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,True,24,22,6573.85,5960.33,7250.53,-127.2417,-90.6273,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,True,24,23,7996.85,7250.53,8820.0,-132.2996,-95.6853,True,14,14,True
trueno_hecho_de_agua,trueno,goteo,True,32,0,86.1,80.0,92.66,-42.358,-4.4035,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,1,99.73,92.66,107.33,-42.0474,-4.0929,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,2,115.52,107.33,124.33,-40.9674,-3.0129,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,3,133.81,124.33,144.01,-42.4107,-4.4562,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,4,154.99,144.01,166.81,-39.9403,-1.9858,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,5,179.52,166.81,193.21,-39.3679,-1.4134,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,6,207.94,193.21,223.8,-39.342,-1.3875,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,7,240.86,223.8,259.23,-38.5405,-0.586,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,8,279.0,259.23,300.27,-37.9545,0.0,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,9,323.16,300.27,347.8,-38.7222,-0.7677,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,10,374.32,347.8,402.86,-40.2469,-2.2924,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,11,433.58,402.86,466.64,-45.7844,-7.8299,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,12,502.22,466.64,540.51,-53.7439,-15.7894,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,13,581.73,540.51,626.08,-62.6787,-24.7242,False,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,14,673.82,626.08,725.2,-73.0991,-35.1446,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,15,780.49,725.2,840.0,-82.1552,-44.2007,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,16,904.05,840.0,972.98,-87.2604,-49.3059,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,17,1047.17,972.98,1127.01,-90.1355,-52.181,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,18,1212.94,1127.01,1305.43,-92.2895,-54.3349,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,19,1404.96,1305.43,1512.09,-95.0383,-57.0838,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,20,1627.38,1512.09,1751.46,-98.8746,-60.9201,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,21,1885.01,1751.46,2028.73,-103.6013,-65.6468,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,22,2183.42,2028.73,2349.9,-105.4337,-67.4791,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,23,2529.08,2349.9,2721.91,-105.7285,-67.7739,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,24,2929.45,2721.91,3152.81,-107.3251,-69.3706,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,25,3393.21,3152.81,3651.93,-111.8983,-73.9438,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,26,3930.38,3651.93,4230.06,-114.6181,-76.6635,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,27,4552.6,4230.06,4899.72,-116.0423,-78.0877,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,28,5273.31,4899.72,5675.39,-121.7507,-83.7961,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,29,6108.12,5675.39,6573.85,-123.318,-85.3635,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,30,7075.09,6573.85,7614.55,-128.6012,-90.6467,True,18,18,True
trueno_hecho_de_agua,trueno,goteo,True,32,31,8195.14,7614.55,8820.0,-131.0237,-93.0692,True,18,18,True
fuego_hecho_de_vidrio,fuego,vidrio,False,2,0,259.23,80.0,840.0,-38.8193,-8.9219,False,0,0,True
fuego_hecho_de_vidrio,fuego,vidrio,False,2,1,2721.91,840.0,8820.0,-29.8975,0.0,False,0,0,True
fuego_hecho_de_vidrio,fuego,vidrio,False,4,0,144.01,80.0,259.23,-46.1807,-13.7344,False,0,0,True
fuego_hecho_de_vidrio,fuego,vidrio,False,4,1,466.64,259.23,840.0,-39.6546,-7.2083,False,0,0,True
fuego_hecho_de_vidrio,fuego,vidrio,False,4,2,1512.09,840.0,2721.91,-33.4172,-0.9709,False,0,0,True
fuego_hecho_de_vidrio,fuego,vidrio,False,4,3,4899.72,2721.91,8820.0,-32.4463,0.0,False,0,0,True
fuego_hecho_de_vidrio,fuego,vidrio,False,6,0,118.38,80.0,175.18,-49.3056,-15.2779,False,0,0,True
fuego_hecho_de_vidrio,fuego,vidrio,False,6,1,259.23,175.18,383.6,-44.9871,-10.9594,False,0,0,True
fuego_hecho_de_vidrio,fuego,vidrio,False,6,2,567.65,383.6,840.0,-40.4133,-6.3857,False,0,0,True
fuego_hecho_de_vidrio,fuego,vidrio,False,6,3,1243.02,840.0,1839.4,-34.0277,0.0,False,0,0,True
fuego_hecho_de_vidrio,fuego,vidrio,False,6,4,2721.91,1839.4,4027.84,-36.867,-2.8393,False,0,0,True
