pareja,env_parent,fine_parent,n_bands,method,color_mix,region,region_lo_hz,region_hi_hz,corr_con_a,corr_con_b
oceano_hecho_de_campana,oceano,campana_tela,16,chimera,1.0,graves,40.0,500.0,0.760728,-0.026304
oceano_hecho_de_campana,oceano,campana_tela,16,chimera,1.0,medios,500.0,1500.0,0.931421,-0.043398
oceano_hecho_de_campana,oceano,campana_tela,16,chimera,1.0,agudos,1500.0,20000.0,0.974665,-0.072649
goteo_hecho_de_campana,goteo,campana_tela,6,chimera_plana,,graves,40.0,500.0,0.654737,0.200716
goteo_hecho_de_campana,goteo,campana_tela,6,chimera_plana,,medios,500.0,1500.0,0.871275,0.09531
goteo_hecho_de_campana,goteo,campana_tela,6,chimera_plana,,agudos,1500.0,20000.0,0.571003,0.091835
goteo_hecho_de_campana,goteo,campana_tela,6,chimera,0.0,graves,40.0,500.0,0.659594,0.187099
goteo_hecho_de_campana,goteo,campana_tela,6,chimera,0.0,medios,500.0,1500.0,0.865657,0.096125
goteo_hecho_de_campana,goteo,campana_tela,6,chimera,0.0,agudos,1500.0,20000.0,0.652003,0.081115
goteo_hecho_de_campana,goteo,campana_tela,6,chimera,0.25,graves,40.0,500.0,0.696936,0.18236
goteo_hecho_de_campana,goteo,campana_tela,6,chimera,0.25,medios,500.0,1500.0,0.86415,0.088665
goteo_hecho_de_campana,goteo,campana_tela,6,chimera,0.25,agudos,1500.0,20000.0,0.713577,0.124928
goteo_hecho_de_campana,goteo,campana_tela,6,chimera,0.5,graves,40.0,500.0,0.730759,0.170746
goteo_hecho_de_campana,goteo,campana_tela,6,chimera,0.5,medios,500.0,1500.0,0.852559,0.080504
goteo_hecho_de_campana,goteo,campana_tela,6,chimera,0.5,agudos,1500.0,20000.0,0.751121,0.155399
goteo_hecho_de_campana,goteo,campana_tela,6,chimera,0.75,graves,40.0,500.0,0.73367,0.158321
goteo_hecho_de_campana,goteo,campana_tela,6,chimera,0.75,medios,500.0,1500.0,0.832761,0.074632
goteo_hecho_de_campana,goteo,campana_tela,6,chimera,0.75,agudos,1500.0,20000.0,0.771172,0.170175
goteo_hecho_de_campana,goteo,campana_tela,6,chimera,1.0,graves,40.0,500.0,0.714175,0.147259
goteo_hecho_de_campana,goteo,campana_tela,6,chimera,1.0,medios,500.0,1500.0,0.811771,0.071637
goteo_hecho_de_campana,goteo,campana_tela,6,chimera,1.0,agudos,1500.0,20000.0,0.784938,0.175775
